Name, Price, Plastic Cover
Milk, 3.49, True
Eggs, 2.99, False
Bread, 2.49, True
Chicken Breast, 8.99, False
Tomatoes, 3.79, True
Bananas, 1.29, False
Yogurt, 3.49, True
Carrots, 1.89, False
Orange Juice, 3.99, True
Cheddar Cheese, 5.99, False
Cucumber, 1.49, True
Apples, 4.29, False
Frozen Peas, 2.49, True
Cereal, 3.79, False
Butter, 3.59, True
Spaghetti, 1.89, False
Lettuce, 1.99, True
Ground Beef, 6.79, False
Frozen Pizza, 7.99, True
Bagged Salad, 3.29, False
Pasta Sauce, 2.69, True
Olive Oil, 5.99, False
Shampoo, 4.99, True
Toothpaste, 2.59, False
Rice, 2.39, True
Frozen Chicken Nuggets, 5.49, False


