Name, Price, Plastic Cover
Milk, 3.49, True
Eggs, 2.79, False
Bananas, 1.29, True
Bread, 2.49, True
Chicken Breast, 8.99, False
Apples, 4.99, True
Yogurt, 3.69, False
Orange Juice, 4.49, True
Tomatoes, 2.89, False
Lettuce, 1.99, True
Cheddar Cheese, 5.29, False
Cereal, 3.99, True
Butter, 3.79, False
Rice, 2.59, True
Spaghetti, 1.89, False
Potatoes, 4.49, True
Shampoo, 5.99, False
Toothpaste, 2.99, True
Ground Beef, 6.79, False
Frozen Pizza, 7.99, True
Applesauce, 3.19, False
Olive Oil, 6.29, True
Pineapple, 3.99, False
Canned Beans, 1.29, True
Garlic, 0.99, False
Soda, 1.99, True
Paper Towels, 4.99, False
Toilet Paper, 6.49, True
Ice Cream, 4.59, False

