Name, Price, Plastic Cover
Milk, 3.39, True
Eggs, 2.79, False
Bagged Spinach, 3.49, True
Whole Chicken, 10.99, False
Bread, 2.69, True
Tomatoes, 2.99, False
Carrots, 1.79, True
Apples, 4.19, False
Chicken Thighs, 7.49, True
Frozen French Fries, 3.59, False
Cheddar Cheese, 5.69, True
Yogurt, 3.99, False
Cucumber, 1.39, True
Frozen Vegetables, 2.99, False
Cereal, 3.49, True
Olive Oil, 6.79, False
Frozen Pizza, 6.99, True
Ice Cream, 4.79, False
Peanut Butter, 3.59, True
Ground Beef, 6.59, False
Avocados, 2.99, True
Pasta, 1.79, False
Ranch Dressing, 2.49, True
Soda, 1.99, False
Bananas, 1.29, True
Shampoo, 4.49, False
