Name, Price, Plastic Cover
Milk, 3.59, True
Eggs, 2.99, False
Whole Wheat Bread, 3.49, True
Chicken Breast, 9.49, False
Bananas, 1.19, True
Cheddar Cheese, 5.69, False
Yogurt, 3.79, True
Cucumber, 1.39, False
Tomatoes, 2.69, True
Apples, 4.29, False
Frozen Peas, 2.59, True
Frozen Pizza, 6.79, False
Potatoes, 3.49, True
Cereal, 3.99, False
Olive Oil, 6.29, True
Ground Beef, 7.59, False
Lettuce, 1.89, True
Frozen Chicken Nuggets, 5.99, False
Ranch Dressing, 2.79, True
Pasta, 1.69, False
Frozen Vegetables, 3.19, True
Peanut Butter, 3.49, False
Rice, 2.49, True
Soda, 1.99, False
Tomato Sauce, 1.49, True
Ice Cream, 4.59, False
Avocados, 2.79, True
Shampoo, 5.49, False
Toothpaste, 2.89, True
