Name, Price, Plastic Cover
Gochujang, 7.49, False
Milk, 3.49, True
Eggs, 2.89, False
Chicken Breasts, 8.99, True
Bread, 2.59, False
Tomatoes, 3.29, True
Bananas, 1.29, False
Yogurt, 3.49, True
Frozen Spinach, 2.59, False
Cheddar Cheese, 5.99, True
Cucumber, 1.39, False
Carrots, 1.79, True
Frozen French Fries, 3.29, False
Canned Tomatoes, 1.49, True
Frozen Pizza, 6.49, False
Pasta, 1.99, True
Peanut Butter, 3.19, False
Olive Oil, 5.89, True
Rice, 2.39, False
Lettuce, 2.69, True
Cereal, 3.49, False
Frozen Shrimp, 7.99, True
Apples, 4.19, False
Ground Beef, 6.79, True
Soda, 1.99, False
Ice Cream, 4.79, True

