Name, Price, Plastic Cover
Milk, 3.59, True
Eggs, 2.79, False
Chicken Thighs, 7.69, True
Whole Wheat Bread, 3.19, False
Tomatoes, 2.99, True
Bananas, 1.39, False
Yogurt, 3.79, True
Frozen Peas, 2.49, False
Cheddar Cheese, 5.59, True
Cucumber, 1.49, False
Carrots, 1.99, True
Frozen Chicken Nuggets, 5.99, False
Pasta Sauce, 2.79, True
Olive Oil, 6.29, False
Ground Beef, 7.29, True
Lettuce, 2.39, False
Frozen Broccoli, 2.59, True
Rice, 2.19, False
Soda, 1.89, True
Peanut Butter, 3.59, False
Frozen Pizza, 6.29, True
Apples, 4.29, False
Shampoo, 4.99, True
Ice Cream, 4.49, False
