Name, Price, Plastic Cover
Milk, 3.39, True
Eggs, 2.89, False
Chicken Breast, 9.99, True
Bread, 2.59, False
Tomatoes, 2.79, True
Bananas, 1.29, False
Yogurt, 3.19, True
Frozen Carrots, 2.39, False
Cheddar Cheese, 5.49, True
Cucumber, 1.49, False
Carrots, 1.79, True
Frozen Spinach, 2.59, False
Pasta, 1.89, True
Olive Oil, 6.19, False
Ground Beef, 7.29, True
Lettuce, 1.99, False
Frozen Mixed Vegetables, 3.19, True
Rice, 2.29, False
Peanut Butter, 3.39, True
Frozen Chicken Nuggets, 5.79, False
Pasta Sauce, 2.69, True
Soda, 1.89, False
Frozen Pizza, 6.59, True
Apple Juice, 3.49, False
Canned Tomatoes, 1.49, True
Granola Bars, 3.99, False
Shampoo, 4.79, True
Ice Cream, 4.99, False
Bagged Salad, 3.49, True
Canned Corn, 1.19, False
Frozen Fries, 3.29, True
